pista,pais,cidade,inauguracao,extensao,curvas,recorde_volta,curiosidades
Melbourne,Austrália,Melbourne,1996,5.278,14,1:19.813,"Circuito de Albert Park e tradicional sede do Grande Prêmio da Austrália"
Xangai,China,Xangai,2004,5.451,16,1:32.238,"Possui uma longa reta e curvas de alta velocidade; recebeu o primeiro GP da China em 2004"
Suzuka,Japão,Suzuka,1962,5.807,18,1:30.965,"Circuito em formato de oito e um dos traçados mais tradicionais da Fórmula 1"
Miami,EUA,Miami Gardens,2022,5.412,19,1:29.708,"Circuito localizado no complexo do Hard Rock Stadium e conhecido pela atmosfera de festival"
Montreal,Canadá,Montreal,1978,4.361,14,1:13.078,"Circuito Gilles-Villeneuve fica na Île Notre-Dame e é famoso pelo Muro dos Campeões"
Monte Carlo,Mônaco,Monte Carlo,1929,3.337,19,1:12.909,"Um dos circuitos mais lendários e glamourosos da Fórmula 1"
Barcelona-Catalunya,Espanha,Montmeló,1991,4.657,14,1:15.743,"Tradicional circuito de testes da F1 e conhecido pela exigência técnica"
Spielberg,Áustria,Spielberg,1969,4.326,10,1:07.924,"Red Bull Ring é um circuito curto e veloz localizado na região da Estíria"
Silverstone,Reino Unido,Silverstone,1948,5.891,18,1:27.097,"Palco do primeiro Grande Prêmio do Campeonato Mundial de Fórmula 1 em 1950"
Spa-Francorchamps,Bélgica,Stavelot,1921,7.004,19,1:44.701,"É o circuito mais longo do calendário atual e é famoso pela Eau Rouge e Raidillon"
Hungaroring,Hungria,Budapeste,1986,4.381,14,1:16.627,"Traçado estreito e sinuoso frequentemente comparado a um Mônaco sem muros"
Zandvoort,Países Baixos,Zandvoort,1948,4.259,14,1:11.097,"Circuito localizado nas dunas e conhecido por suas curvas inclinadas"
Monza,Itália,Monza,1922,5.793,11,1:20.901,"Conhecido como Templo da Velocidade e uma das pistas mais antigas da Fórmula 1"
Madrid,Espanha,Madrid,2026,5.416,22,,"Novo circuito Madring que estreia na Fórmula 1 em 2026"
Baku,Azerbaijão,Baku,2016,6.003,20,1:43.009,"Circuito de rua com uma das maiores retas do calendário e um trecho extremamente estreito na cidade velha"
Sepang,Malásia,Kuala Lumpur,1999,5.543,15,1:34.080,"Retorna à Fórmula 1 em 2026 para receber o Grande Prêmio do Bahrein"
Singapura,Cingapura,Singapura,2008,4.927,19,1:33.808,"Foi o primeiro Grande Prêmio noturno da história da Fórmula 1"
Austin,EUA,Austin,2012,5.513,20,1:36.169,"Circuito das Américas possui curvas inspiradas em trechos de Silverstone, Suzuka e Hockenheim"
Cidade do México,México,Cidade do México,1959,4.304,17,1:17.166,"Circuito localizado a mais de 2.200 metros de altitude, afetando motores e aerodinâmica"
Interlagos,Brasil,São Paulo,1938,4.309,15,1:10.540,"Circuito tradicional do Brasil e palco de grandes momentos da carreira de Ayrton Senna"
Las Vegas,EUA,Las Vegas,2023,6.201,17,1:33.365,"Circuito de rua noturno que percorre a famosa Las Vegas Strip"
Lusail,Catar,Lusail,2004,5.419,16,1:22.384,"Circuito originalmente construído para MotoGP e conhecido pelas curvas rápidas e fluidas"
Yas Marina,Emirados Árabes Unidos,Abu Dhabi,2009,5.281,16,1:25.637,"Tradicional palco da última etapa da temporada e famoso pelas corridas ao pôr do sol"
