pergunta,opcao1,opcao2,opcao3,opcao4,resposta_correta
"Qual piloto tem mais vitórias na história da F1?","Lewis Hamilton","Michael Schumacher","Max Verstappen","Ayrton Senna","Lewis Hamilton"
"Qual piloto tem mais títulos mundiais?","Lewis Hamilton","Michael Schumacher","Juan Manuel Fangio","Ayrton Senna","Lewis Hamilton, Michael Schumacher"
"Qual piloto é o campeão mais jovem da história?","Sebastian Vettel","Max Verstappen","Lewis Hamilton","Fernando Alonso","Sebastian Vettel"
"Qual piloto é o campeão mais velho da história?","Juan Manuel Fangio","Giuseppe Farina","Jack Brabham","Niki Lauda","Juan Manuel Fangio"
"Qual piloto tem mais vitórias em uma única temporada?","Max Verstappen","Michael Schumacher","Lewis Hamilton","Sebastian Vettel","Max Verstappen"
"Qual piloto tem mais vitórias consecutivas?","Max Verstappen","Sebastian Vettel","Michael Schumacher","Lewis Hamilton","Max Verstappen"
"Qual é o vencedor de corrida mais jovem da história?","Max Verstappen","Sebastian Vettel","Lewis Hamilton","Fernando Alonso","Max Verstappen"
"Qual é o vencedor de corrida mais velho da história?","Luigi Fagioli","Juan Manuel Fangio","Giuseppe Farina","Jack Brabham","Luigi Fagioli"
"Qual piloto tem mais poles na história da F1?","Lewis Hamilton","Michael Schumacher","Ayrton Senna","Sebastian Vettel","Lewis Hamilton"
"Qual piloto tem mais pódios na história da F1?","Lewis Hamilton","Michael Schumacher","Sebastian Vettel","Fernando Alonso","Lewis Hamilton"
"Qual piloto tem mais voltas rápidas na história?","Michael Schumacher","Lewis Hamilton","Kimi Räikkönen","Alain Prost","Michael Schumacher"
"Qual piloto tem mais corridas na história?","Fernando Alonso","Lewis Hamilton","Kimi Räikkönen","Michael Schumacher","Fernando Alonso"
"Qual equipe tem mais títulos de construtores?","Ferrari","McLaren","Williams","Mercedes","Ferrari"
"Qual piloto tem mais vitórias no GP de Mônaco?","Ayrton Senna","Lewis Hamilton","Michael Schumacher","Max Verstappen","Ayrton Senna"
"Qual equipe venceu o primeiro GP da história?","Alfa Romeo","Ferrari","Mercedes","Maserati","Alfa Romeo"
"Qual país tem mais títulos de pilotos na F1?","Reino Unido","Alemanha","Brasil","França","Reino Unido"
"Qual piloto tem mais hat-tricks (pole + vitória + volta rápida)?","Michael Schumacher","Lewis Hamilton","Ayrton Senna","Max Verstappen","Michael Schumacher"
"Qual piloto tem mais vitórias sem ser campeão mundial?","Stirling Moss","Gerhard Berger","David Coulthard","Rubens Barrichello","Stirling Moss"
"Qual equipe tem mais vitórias na história da F1?","Ferrari","McLaren","Mercedes","Williams","Ferrari"
"Qual piloto tem mais pontos na história da F1?","Lewis Hamilton","Sebastian Vettel","Max Verstappen","Fernando Alonso","Lewis Hamilton"
