categoria,texto
História,"Em 1950, o primeiro GP do Campeonato Mundial de Fórmula 1 foi disputado em Silverstone, na Grã-Bretanha. Giuseppe Farina venceu pela Alfa Romeo."
História,"Giuseppe Farina foi o primeiro campeão mundial de Fórmula 1, em 1950."
História,"Juan Manuel Fangio conquistou cinco títulos mundiais na década de 1950."
História,"Mike Hawthorn tornou-se o primeiro campeão mundial britânico da Fórmula 1 em 1958."
História,"A Ferrari participa do Campeonato Mundial desde 1950 e é a única equipe presente em todas as temporadas da F1."
História,"A temporada de 1950 teve apenas sete Grandes Prêmios válidos para o Campeonato Mundial."
História,"O primeiro GP de Mônaco válido pelo Campeonato Mundial aconteceu em 1950."
História,"Ayrton Senna conquistou sua primeira vitória na Fórmula 1 no GP de Portugal de 1985."
Recordes,"Lewis Hamilton é o piloto com mais vitórias na história da Fórmula 1."
Recordes,"Michael Schumacher e Lewis Hamilton são os dois pilotos com sete títulos mundiais."
Recordes,"Max Verstappen venceu 19 corridas em 2023, recorde de vitórias em uma única temporada."
Recordes,"Max Verstappen conquistou nove vitórias consecutivas em 2023, estabelecendo um recorde na Fórmula 1."
Recordes,"Lewis Hamilton é o piloto com mais pole positions na história da Fórmula 1."
Recordes,"Lewis Hamilton é o piloto com mais pódios na história da Fórmula 1."
Recordes,"Michael Schumacher conquistou cinco títulos consecutivos entre 2000 e 2004."
Pilotos,"Ayrton Senna é considerado por muitos fãs e especialistas como um dos maiores pilotos da história da Fórmula 1."
Pilotos,"Niki Lauda sofreu um grave acidente no Nürburgring em 1976, sobreviveu e voltou a competir apenas algumas semanas depois."
Pilotos,"Niki Lauda conquistou o campeonato mundial novamente em 1977, apenas um ano depois de seu grave acidente."
Pilotos,"Jim Clark conquistou dois títulos mundiais e é considerado um dos maiores pilotos da década de 1960."
Pilotos,"Alain Prost conquistou quatro campeonatos mundiais de Fórmula 1."
Pilotos,"Fernando Alonso tornou-se bicampeão mundial em 2005 e 2006."
Pilotos,"Sebastian Vettel conquistou quatro títulos consecutivos entre 2010 e 2013."
Equipes,"A Ferrari é a equipe mais antiga da Fórmula 1 e participa do Campeonato Mundial desde 1950."
Equipes,"A McLaren estreou na Fórmula 1 em 1966 e tornou-se uma das equipes mais vitoriosas da história."
Equipes,"A Mercedes conquistou oito títulos consecutivos de construtores entre 2014 e 2021."
Equipes,"A Red Bull conquistou seis títulos de construtores e oito títulos de pilotos."
Equipes,"A Williams conquistou nove títulos mundiais de construtores."
Equipes,"A McLaren conquistou dez títulos mundiais de construtores."
Equipes,"A Ferrari é a equipe com mais títulos de construtores na história da Fórmula 1."
Circuitos,"O Circuito de Spa-Francorchamps é um dos circuitos mais longos do calendário, com mais de 7 km de extensão."
Circuitos,"Suzuka é famoso por seu traçado em formato de oito e é um dos circuitos mais tradicionais da Fórmula 1."
Circuitos,"Monza é conhecido como o Templo da Velocidade devido às suas longas retas e altas velocidades."
Circuitos,"O circuito de Mônaco é um dos mais tradicionais e estreitos do calendário da Fórmula 1."
Circuitos,"O GP de Singapura foi o primeiro Grande Prêmio disputado oficialmente à noite, em 2008."
Circuitos,"O circuito de Interlagos recebe o Grande Prêmio de São Paulo e é um dos circuitos mais tradicionais da Fórmula 1."
Diversos,"O calendário inaugural de 1950 teve sete Grandes Prêmios válidos para o campeonato."
Diversos,"O GP de Mônaco é realizado nas ruas de Monte Carlo."
Diversos,"O GP do México é disputado em uma das maiores altitudes do calendário da Fórmula 1."
Diversos,"O GP de Las Vegas utiliza parte da famosa Las Vegas Strip durante a corrida."
Diversos,"O GP da Austrália é tradicionalmente realizado no circuito de Albert Park, em Melbourne."
